"","user_id","order_date","order_item","point","comment"
"19","ja**님","14시간 전","궁중식 순살찜닭/1","3","배달원은 무뚝뚝 음식만 띡 주고가서 약간 불친절 음식은 뭐 식당에서 먹는 찜닭이랑 비슷하게 구색은 갖췄음ㅋㅋㅋ 당면은 많은편, 단호박 큼지막한거 두덩이, 밤 2개, 표고버섯 자른거 1cm정도되는거 2개, 닭고기 6조각정도. 그래도 다양하게 들어있어서 양은 그래도 괜찮은편. 맛도 있는편. 근데 요청사항은 안보는듯"
"20","js**님","14시간 전","두툼한 통등심 가츠동/1","5","돈부리 너무 맛있어요~~"
"21","ji**님","14시간 전","명란마요 가라아게 콤보/1(사이드 선택(계란말이))","5","잘 먹었습니다! :)"
"22","nd**님","15시간 전","매콤대패삼겹덮밥/1,두툼한 통등심 가츠동/1","5","어제먹고 맛있어서 바로 또 시켜먹었어요 잘 먹었습니다."
"23","vi**님","15시간 전","씨푸드 나시고랭/1","5","흰 부분 없이 밥에 소스가 엄청 잘 버무려져 있어요.. 새우도 통통하고 맛나네요 양도 많고 맛있게 잘 먹었습니다 :D"
"24","ea**님","15시간 전","대패삼겹덮밥/1","5","맛있었어요 감사합니다"
"25","9b**님","16시간 전","궁중식 순살찜닭/1","5","배달도 빠르고 음식도 맛있고 잘 먹었습니다~"
"26","di**님","16시간 전","대패삼겹덮밥/1","5","맛있었습니다~~~~"
"27","sa**님","16시간 전","어향가지 덮밥/1","5","맛있어요 한 그릇 싹싹 건강과 맛을 동시에"
"28","sh**님","17시간 전","소불고기 비빔밥/1","5","시간 되니까 배달 안왔는데도 배달 완료라고 뜨는건 좀 고쳐야 하지 않을까.."
"29","h0**님","17시간 전","두툼한 통등심 가츠동/1","5","오늘도맛있게잘먹었습니당"
"30","nd**님","어제","두툼한 통등심 가츠동/1","5","진짜 맛나네요 재주문 100%!"
"31","yo**님","어제","씨푸드 나시고랭/1,소불고기 비빔밥/1","5","너무 예쁘게 담겨져오네요^^배달 빠르고 맛있게 먹었어요"
"32","bi**님","어제","궁중식 순살찜닭/1,두툼한 통등심 가츠동/1,로스트 치킨과 매콤한 크림리조또/1,어향가지 덮밥/1","5","전체적으로 가격 대비 양호합니다. 제 입맛에는 리조또는 다 먹기에는 좀 느끼했고 궁중식 순살찜닭의 구성과 맛이 가장 좋았습니다."
"33","ge**님","어제","순살 새우치킨 콤보（소이）/1","5","잘먹었어요 가볍게 치킨 먹을때 안주거리 필요할때 좋아요"
"34","tw**님","어제","대패삼겹덮밥/1","5","올만에 먹었는데 여전히 맛있어요!!"
"35","ff**님","어제","그라나파다노 김치볶음밥/1(사이드 선택(트러플 감자튀김M))","5","양도 푸짐하고 정말 맛있어요! 트러플 감자튀김의 매력을 이제 알게 되었어요!"
"36","ma**님","어제","두툼한 통등심 가츠동/1","4","맛있게 잘 먹었습니다"
"37","js**님","어제","대패삼겹덮밥/1","1","김치가 평소에오다가 오지 않았어요. 국 평소에 따뜻했는데 차갑게 왔어요. 맛 평소와다르게 양념범벅이였고 고기 비린맛이 있었습니다."
"38","en**님","어제","씨푸드 나시고랭/1(사이드 선택(계란말이))","5","나시고랭을 좋아해서 쿠폰있는김에 주문해봤는데 포장도 음식도 넘 깔끔하고 양이 2인분은 되는 것 같아요 ㄷㄷ 반 덜어서 먹고 나머진 내일 먹으려고 보관해놨어요 잘먹었습니다 <U+2764><U+2764>"
"39","ch**님","어제","씨푸드 나시고랭/1","5","처음 주문했는데 맛있네요. 자주 주문할께요."
"40","be**님","어제","수원왕갈비 치밥/1(사이드 선택(계란말이))","5","빠르게 잘 받았습니다"
"41","hw**님","어제","수원왕갈비 치밥/1(사이드 선택(명란마요 가라아게))","5","잘먹었네요~~ 굿굿!!"
"42","ch**님","어제","모둠나물 제육비빔밥/2","5","셰플리 비빔밥은 모두 만족하며 먹는 메뉴~"
"43","ji**님","어제","비빔명란 가라아게동/1(사이드 선택(트러플 감자튀김M))","5","맛있어요~~~~~~~"
"44","hi**님","어제","비빔명란 가라아게동/1(옵션 추가(된장국추가))","5","맛있어요 ~배달도 빠르고요~"
"45","yo**님","어제","두툼한 통등심 가츠동/1(음료 선택(코카콜라 제로),옵션 추가(된장국추가))","2","아 ㅡㅡ 제로콜라 추가했는데 일반 코라콜라 왓네"
"46","ko**님","어제","수원왕갈비 치밥/1","5","요기요에서 가장 많이 찾은 곳인 이유가 있죠"
"47","ya**님","어제","로스트 치킨과 매콤한 크림리조또/1(음료 선택(스타벅스 RTD 블랙커피))","1","다 식어서... 밥알은 딱딱하고 느끼하고 고기는 찹고 짜고..."
"48","wg**님","어제","궁중식 순살찜닭/1(음료 선택(코카콜라),옵션 추가(밥추가))","5","배달도 빠르고 양도 많고 맛있게 잘 먹었습니다!"
"49","xo**님","어제","허니갈릭 닭가슴살 시저샐러드/1","5","셰플리 너무 좋아요 식재료가 고급임이 느껴짐"
"50","ch**님","어제","궁중식 순살찜닭/1","5","맜있고 배달도 빨라요"
"51","hj**님","어제","씨푸드 나시고랭/1","5","쿠폰쓰느라 주문했어요 ㅎㅎ 점심에 라면 하나 끓여서 볶음밥이랑 셋이서 배불리 먹었습니다"
"52","dk**님","어제","두툼한 통등심 가츠동/1","5","최고였습니다. 또 시킬께요!"
"53","51**님","어제","순살 새우치킨 콤보（소이）/1","4","혼자 먹기 좋은 양인데 먹다보면 좀 물립니다."
"54","of**님","어제","소불고기 비빔밥/3,로스트 치킨과 매콤한 크림리조또/2","5","최고의 식사- 매주 주문합니다"
"55","go**님","2일 전","비빔명란 가라아게동/1","5","맛있는데 밥이 적어서 간이 세요 추천"
"56","ki**님","2일 전","궁중식 순살찜닭/1(음료 선택(스프라이트))","5","순위에 자꾸 뜨길래 궁금해서 반신반의로 시켜봤어요 양도 적지도 않고 그냥 먹을만 했음 다만 너무 싱.거웠어욤... 다른분 리뷰도 그러던데 이부분만 개선하면 더 좋을것걑아용"
"57","gh**님","2일 전","모둠나물 제육비빔밥/1,수원왕갈비 치밥/1","5","맛있어요!! 잘 먹었습니다"
"58","sh**님","2일 전","비빔명란 가라아게동/1","5","한그릇 뚝딱 잘먹었습니다"
"59","dn**님","2일 전","순살 새우치킨 콤보（소이）/1","5","맥주 한잔하면서 먹기 정말 좋아요"
"60","sk**님","2일 전","두툼한 통등심 가츠동/1","5","꼼ㄷ가르송 저리가라 포장에 멋짐이 폭발하고 음식도 배부르게 잘 먹었으용"
"61","al**님","2일 전","궁중식 순살찜닭/1","5","혼자 다 먹기에 양 많아요. 찜닭은 처음 먹어봤는데 정말 맛있어요"
"62","ho**님","2일 전","궁중식 순살찜닭/1","5","배달 빠르고 언제 먹어도 맛 굿요~"
"63","po**님","2일 전","궁중식 순살찜닭/1","5","도착해서 연락을 따로 안주시고 문앞에 놓고 가셨어요ㅠ 그거빼곤 다 좋아요. 자주 시켜먹는 1인용 궁중찜닭!"
"64","db**님","2일 전","두툼한 통등심 가츠동/1","5","항상맛있게먹구있어영"
"65","qo**님","2일 전","두툼한 통등심 가츠동/1(사이드 선택(멘보샤))","5","넘 맛나게잘먹었습니다"
"66","yo**님","2일 전","두툼한 통등심 가츠동/1","4","배달은 아주 빠르다! 소스를 넉넉히 달랬는데 물만 탄 건지 전체적으로 간이 싱거웠다 밥이 돈까스보다 더 얇게 깔린 거 같음 두꺼운 축이 그나마 돈까스와 비슷... 다 먹고 나서도 조금 부족하다 싶은 아쉬운 양 예전엔 이보다 만족스러웠던 거 같은데 할인 메뉴여서 그랬나? 배달비가 붙고 나서 오히려 더 퀄리티 있는 한그릇에서 멀어진 기분 7천 원이라면 만족스럽고 1만 원은 아쉬운 맛과 양"
"67","lg**님","2일 전","매콤대패삼겹덮밥/1(음료 선택(생수 300ml))","5","맛있어요. 특히 김치가 아삭아삭 좋았습니다."
"68","do**님","2일 전","소불고기 비빔밥/1","5","항상 맛나게 잘 먹고 았습니다"
"69","st**님","2일 전","궁중식 순살찜닭/1","3","음식에 아주 많이 신경쓴 집 같았어요 찜닭에 밤,대추,은행 이렇게 여러가지 넣어주는집은 처음이였어요 다만 아쉬운점은 맛이 싱겁고 당연이 덜익었다는 점이였습니다 대체적으로 괜찮았습니다"
"70","No**님","2일 전","씨푸드 나시고랭/1","5","나시고랭 항상 맛있어요!"
"71","vn**님","2일 전","순살 새우치킨 콤보（양념）/1","5","덕분에 맛있게 한끼 해결했습니다."
"72","so**님","2일 전","두툼한 통등심 가츠동/1","5",";;;;;;;;;;"
"73","bl**님","2일 전","로스트 치킨과 매콤한 크림리조또/1","5","포장이 깔끔합니다~"
"74","ob**님","3일 전","두툼한 통등심 가츠동/1(음료 선택(코카콜라 제로)),로스트 치킨과 매콤한 크림리조또/1","5","이곳이 쉐플리 최고 맛집"
"75","ju**님","3일 전","궁중식 순살찜닭/1","5","음식은 맛있는데 조리의 질에 편차가 항상 있는거 같아요 오늘은 국물양이 좀 적어서 약간 뻑뻑한 느낌이었어요 그래도 JMT"
"76","lm**님","3일 전","모둠나물 제육비빔밥/1,소불고기 비빔밥/1,궁중식 순살찜닭/1","5","먹다 배터지는줄 알앗네요 보기보다 양이 많아요 맛은 짱이구요!!!"
"77","an**님","3일 전","로스트 치킨과 매콤한 크림리조또/1","5","잘먹었습니다 감사합니다"
"78","pt**님","3일 전","궁중식 순살찜닭/1,어향가지 덮밥&멘보샤/1","5","너무 맛있어요 오자마자 먹느라 먹다만 사진이라도..ㅎㅎ 가지덮밥은 마파두부 비슷한 맛 나요"
"79","jo**님","3일 전","대패삼겹덮밥/1","5","늘 맛있게 먹고있어요~^^"
"80","jc**님","3일 전","대패삼겹덮밥/2,수원왕갈비 치밥/3","4","양이 많아서 좋고 맛있어요!!!!"
"81","as**님","3일 전","로스트 치킨과 매콤한 크림리조또/1","4","잘먹었습니다...."
"82","fe**님","3일 전","두툼한 통등심 가츠동/1","5","비와서 그런지 비닐에 한 번 더 담아주셨어요 맛있고 배부르게 잘 먹었습니다"
"83","ss**님","3일 전","궁중식 순살찜닭/1,허니갈릭 닭가슴살 시저샐러드/1","5","찜닭 너무 맛있어요! 단호박, 대추, 은행, 밤, 버섯 몸에 좋은 재료 듬뿍! 당면과 닭고기도 넉넉해요. 양념이 쫌 덜 달았으면 더 맛있을 것 같아요!! 시저샐러드는 저녁에 먹을거라 아직 :)"
"84","wn**님","3일 전","두툼한 통등심 가츠동/1","5","빠르고 맛있었어요 담에 또 간편히 시켜먹을겡ㅎ"
"85","ya**님","3일 전","모둠나물 제육비빔밥/1","5","언제 먹어도 실패 없이 먹어서 넘 좋아요"
"86","ek**님","4일 전","두툼한 통등심 가츠동/1","5","맛있게 잘 먹었어요"
"87","of**님","4일 전","씨푸드 나시고랭/1,소불고기 비빔밥/1","5","추천했는데 다들 맛있게 드셔서. 모두에게 기쁜 점심식사였어요. 회사에서 일주일에 3번은 주문하는듯"
"88","of**님","4일 전","허니갈릭 닭가슴살 시저샐러드/1(옵션 추가(밥추가)),순살 새우치킨 콤보（반반）/1","5","여기 음식. 모두 맛있는데. 딱 이것만 좀 아니에요튀김옷이 너무 두꺼워요."
"89","so**님","4일 전","허니갈릭 닭가슴살 시저샐러드/1(음료 선택(코카콜라 제로)),수원왕갈비 치밥/1(사이드 선택(트러플 감자튀김M))","5","Deliciouss"
"90","jp**님","4일 전","두툼한 통등심 가츠동/1(사이드 선택(계란말이))","5","할인해서 시켰는데 맛있게 먹었습니다!"
"91","op**님","4일 전","두툼한 통등심 가츠동/1(옵션 추가(된장국추가))","4","매번 맛있게 잘 먹고 있습니다."
"92","wl**님","4일 전","소불고기 비빔밥/1,궁중식 순살찜닭/1","5","오늘은 고기가 중간중간 덜익어서 빨간거 골라내고 먹었어요,,ㅜㅜ"
"93","sa**님","4일 전","로스트 치킨과 매콤한 크림리조또/1(음료 선택(코카콜라 제로,생수 300ml))","2","리조또..라기보다는 그냥 시리얼먹는 느낌이엇어요 기대많이했는데 너무 아쉽네요"
"94","fl**님","4일 전","두툼한 통등심 가츠동/1","5","싸고 맛있고 두툼하게 잘 익었네요"
"95","ji**님","4일 전","씨푸드 나시고랭/1(사이드 선택(멘보샤))","5","배달도 빠르고 맛있어요~깔끔하게 오구 요청사항도 잘 들어주셔서 감사해요"
"96","he**님","4일 전","두툼한 통등심 가츠동/1","4","메모로 실컷 써놓으면 뭐하나. 놓고가라고해도 굳이 이시기에 꼭 대면해서 줘야하는 이유가 뭔지. 참. 코로나가 한두달 있던 것도 아니고. 아혀."
"97","ti**님","5일 전","대패삼겹덮밥/1","5","맛있게 잘 먹었습니다"
"98","ti**님","5일 전","대패삼겹덮밥/1","5","맛있게 잘 먹었습니다"
"99","ti**님","5일 전","대패삼겹덮밥/1","5","맛있게 잘 먹었습니다"
"100","bi**님","5일 전","어향가지 덮밥/1(사이드 선택(멘보샤))","5","<U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A>"
"101","pa**님","5일 전","두툼한 통등심 가츠동/1","4","가츠동 국물이 배달하는동안 국물에 배여서 짜요. 국물을 따로 준비해서 배달오면 넣어서 먹는게 좋을텐데요"
"102","pa**님","5일 전","로스트 치킨과 매콤한 크림리조또/1","1","진심 사진도 찍기싫고 두스푼먹고 다버림.. 무슨 리조또를 보리밥으로하고 크림소스가 이렇게 약한지.. 그냥 보리밥에 국물크림 넣어둔거같은 맛.."
"103","an**님","5일 전","로스트 치킨과 매콤한 크림리조또/1","5","잘먹었습니다 감사합니다"
"104","li**님","5일 전","두툼한 통등심 가츠동/1(사이드 선택(트러플 감자튀김M))","5","맛있어요 잘 먹었어요"
"105","pr**님","5일 전","궁중식 순살찜닭/1","3","맛이 예전만 못해서 좀 아쉬워요"
"106","hy**님","5일 전","소불고기 비빔밥/1","4","비빔밥은 괜찮은데.. 사이드로 온 김치랑, 국은 별로네요ㅠㅠ"
"107","ki**님","5일 전","허니갈릭 닭가슴살 시저샐러드/1","5","마신ㅅ엇엉요 ㅠㅠㅠ"
"108","cw**님","5일 전","대패삼겹덮밥/1","5","맛있게 잘먹었습니다"
"109","hj**님","5일 전","씨푸드 나시고랭/1,두툼한 통등심 가츠동/1","4","맛있어요. 양도 많고 가끔 생각나서 배달시켜요~^^"
"110","ba**님","5일 전","비빔명란 가라아게동/1","5","맛났습니다 궈봐로우~~~"
"111","wl**님","6일 전","비빔명란 가라아게동/3","5","이제 할인 안해서 아쉬워요ㅠㅜㅜ 명란이랑 가라아게랑 너무 잘 어울려요"
"112","js**님","6일 전","비빔명란 가라아게동/1(사이드 선택(계란말이))","5","언제나 훌륭해요 잘먹었어요"
"113","bn**님","6일 전","대패삼겹덮밥/1,어향가지 덮밥/1(사이드 선택(계란말이))","5","가격이 좀 비싼것만빼면 나무랄데가없는곳이에여"
"114","su**님","일주일 전","비빔명란 가라아게동/1","5","이벤트하길래 먹어봣어요! 맛있어요!"
"115","su**님","일주일 전","로스트 치킨과 매콤한 크림리조또/1","5","언제먹어도 맛있어요!"
"116","ls**님","일주일 전","로스트 치킨과 매콤한 크림리조또/1(사이드 선택(멘보샤))","5","리조또 양이 은근많아요! 다른리조또보다 씹히는 식감이 좋았고 로스트치킨까지 있어서 든든하게 먹었네요. 소스가 약간 묽은 느낌이라 아쉬움은 있었지만 그래도 전반적으로 맛있었어요. 좀더 매콤해도 좋을듯해요! 멘보샤는 아는맛이지만 바삭바삭하니 맛있었구요, 소스랑 할라피뇨 넉넉히 주셔서 감사합니다~"
"117","ks**님","일주일 전","매콤대패삼겹덮밥/1(사이드 선택(명란마요밥,계란말이),음료 선택(코카콜라),옵션 추가(밥추가))","4","처음 주문 했는데 괜찮네요"
"118","st**님","일주일 전","궁중식 순살찜닭/1,로스트 치킨과 매콤한 크림리조또/1(사이드 선택(멘보샤))","3","리조또는 치즈향 되게 강해서 호불호 클 것 같고, 찜닭은 양념이 심심했어요. 그래도 재료는 싱싱하고 전체적인 밸런스는 좋았단 것 같아요~"
"119","yu**님","일주일 전","두툼한 통등심 가츠동/1","1","평소에 맛있게 먹던 카츠동인데, 오늘 카츠가 너무 맛없음. 미리 튀겨놓은거 쓴게 보임. 눅눅하고 기름냄새 올라옴. 식감 ㅠ"
"120","10**님","일주일 전","씨푸드 나시고랭/1(사이드 선택(명란마요 가라아게,계란말이)),그라나파다노 김치볶음밥/1(사이드 선택(명란마요 가라아게,계란말이))","5","너무 맛나요 ㅋㅋ 특히 계란말이는 감동 ㅋ"
"121","id**님","일주일 전","비빔명란 가라아게동/1,궁중식 순살찜닭/1(사이드 선택(계란말이)),수원왕갈비 치밥/1","4","맛나요~~드셔보세요ㅎ"
"122","fl**님","일주일 전","로스트 치킨과 매콤한 크림리조또/1","5","셰플리 원래 좋아해요 리조또는 첨 먹어보는데 역시 맛있네요"
"123","dd**님","일주일 전","비빔명란 가라아게동/1(옵션 추가(밥추가)),순살 새우치킨 콤보（반반）/1(옵션 추가(밥추가))","5","배달도 빠르고 맛도있었어요 밥도 양이많아요"
"124","kt**님","일주일 전","로스트 치킨과 매콤한 크림리조또/1,허니갈릭 닭가슴살 시저샐러드/1","5","좋아요~~~또시킬게요"
"125","kj**님","일주일 전","수원왕갈비 치밥/3(옵션 추가(밥추가))","5","주소지변경 때문에 취소했는데 배달하시는 분이 변경 주소지로 잘보내주셨습니다. 주소지 확인은 제가 잘못 했는데 ㅠ 연락처가없어 변경이 어려웠습니다. ^^우여곡절ㅋ 잘받았습니다."
"126","ka**님","2020년 11월 15일","비빔명란 가라아게동/1(사이드 선택(명란마요밥))","5","가라아게는 맛있어요. 전체적으로는 좀 짰어요"
"127","uu**님","2020년 11월 14일","궁중식 순살찜닭/1","5","맛있게 잘 먹었습니다."
"128","gc**님","2020년 11월 14일","두툼한 통등심 가츠동/1(사이드 선택(명란마요밥))","4","음식이 뒤집어져서 배달왔네요 오다가 흔들린게 아니라 담을때 정성스레 뒤집어서 담은 느낌 잘먹었습니다"
"129","pj**님","2020년 11월 14일","궁중식 순살찜닭/1,두툼한 통등심 가츠동/1","5","맛잇어요 맛잇어요 멋잇어요"
"130","ce**님","2020년 11월 14일","씨푸드 나시고랭/1","5","깔끔하고 맛있어요 살짝 먼거리도 배달 감사해요 ^^"
"131","th**님","2020년 11월 14일","궁중식 순살찜닭/1","5","기운이 없을 때 여기 찜닭을 찾게되네요ㅎㅎ 한결같이 간도 딱맞고 김치랑 먹으면 든든하게 한끼 너무 맛있습니다~! 오늘도 맛나게 잘먹었어요, 매번 요청사항 꼼꼼히 체크해주셔서 감사해용bb"
"132","le**님","2020년 11월 14일","소불고기 비빔밥/1","4","빠른 배송과 맛있는 음식입니다"
"133","go**님","2020년 11월 14일","어향가지 덮밥/1","5","맛있었어요. 밥이 좀 많았던것 같고 덮밥 위에 내용물들이 입맛에 좋았급니다"
"134","hy**님","2020년 11월 14일","비빔명란 가라아게동/1(사이드 선택(트러플 감자튀김L))","4","무난하게 먹을만합니다. 트러플감튀가 진또배기네요"
"135","da**님","2020년 11월 14일","두툼한 통등심 가츠동/1(사이드 선택(트러플 감자튀김M))","5","맛과양이 푸짐합니다~^^"
"136","hw**님","2020년 11월 14일","궁중식 순살찜닭/1,대패삼겹덮밥/1(사이드 선택(명란마요밥))","4","잘먹었어요! 또 시킬게요~"
"137","le**님","2020년 11월 14일","대패삼겹덮밥/1","3","고기가 얇고 비린내도안나고 근데 여전히 짜요"
"138","as**님","2020년 11월 14일","씨푸드 나시고랭/1","4","잘먹었습니다...."
"139","to**님","2020년 11월 13일","비빔명란 가라아게동/1","5","맛나게 잘 먹었습니다"
"140","je**님","2020년 11월 13일","궁중식 순살찜닭/1","1","너무 짜요....배달은 빠르네요"
"141","an**님","2020년 11월 13일","비빔명란 가라아게동/1","5","매번 빠른 배송에 음식도 맛있어요."
"142","a3**님","2020년 11월 13일","궁중식 순살찜닭/1","5","맛있게 잘 먹었습니다"
"143","la**님","2020년 11월 13일","로스트 치킨과 매콤한 크림리조또/3","4","깔끔해요. 한식이나은듯요"
"144","cr**님","2020년 11월 13일","수원왕갈비 치밥/1,어향가지 덮밥&멘보샤/1","2","다른분들은 다 좋았다고 하는데 세트시켰는데 멘보샤가 빠져서 왔는데 참... 연락처는 요기요밖에 없는게 어이없네요. 네이버에서 업체정보찾아 전화하니 없는 번호라고 하고 요기요 고객센터에 직접연락하라고 배달기사분은 말씀하시고.. 요기요 서비스센터는 계속 자동응답이고... 맛과 양 떠나서 연락할곳조차 마땅히 없는곳. 추천은 못하겠습니다."
"145","na**님","2020년 11월 13일","비빔명란 가라아게동/1","5","내가 좋아하는명란이 가라케동과함께 흰쌀밥위에짭짤하고 달콤해요"
"146","wy**님","2020년 11월 13일","비빔명란 가라아게동/1","4","살짝 비릿했는데 그래도 맛있엇어요"
"147","ch**님","2020년 11월 13일","모둠나물 제육비빔밥/1,소불고기 비빔밥/1","5","비빔밥 둘다 모두 맛있네요~^^"
"148","ob**님","2020년 11월 13일","씨푸드 나시고랭/1(사이드 선택(계란말이)),그라나파다노 김치볶음밥/1(음료 선택(코카콜라 제로)),허니갈릭 닭가슴살 시저샐러드/1(음료 선택(코카콜라 제로))","5","맛나요 쉐플리이 양도많아요"
"149","rl**님","2020년 11월 13일","어향가지 덮밥/1","5","맛있습니다! 재주문각"
"150","ji**님","2020년 11월 12일","어향가지 덮밥/1","5","어향가지 덮밥 처음 시켜먹었는데 맛있게 잘 먹었네요"
"151","ti**님","2020년 11월 12일","대패삼겹덮밥/1","5","맛있게 잘 먹었습니다"
"152","ti**님","2020년 11월 12일","대패삼겹덮밥/1","5","맛있게 잘 먹었습니다"
"153","ch**님","2020년 11월 12일","로스트 치킨과 매콤한 크림리조또/1(옵션 추가(종가집김치))","5","맛있어요 ... 배달도 짱빨라요"
"154","ti**님","2020년 11월 12일","비빔명란 가라아게동/1","4","배달용기가 맘에 들어요 깔끔하게 포장돼서 왔고 한끼 먹기 딱 좋아요 맛있게 먹었어요"
"155","jo**님","2020년 11월 12일","궁중식 순살찜닭/1","3","달짝 지근한게 맛있게 먹었습니다"
"156","za**님","2020년 11월 12일","비빔명란 가라아게동/1","5","와.. 20분만에 배달받았어요!! 양도 많고 맛도 있어서 자주 이용할 것 같아요~"
"157","ko**님","2020년 11월 12일","소불고기 비빔밥/1(사이드 선택(명란마요 가라아게))","5","건강하고 깔끔한 한끼 생각날때 추천합니다 맛에 기복이 없는 편이에요~"
"158","gu**님","2020년 11월 11일","비빔명란 가라아게동/1(사이드 선택(명란마요밥))","5","잘먹었습니더!~~~~"
"159","손님","2020년 11월 11일","두툼한 통등심 가츠동/1","5","굿gooooooooood"
"160","jo**님","2020년 11월 11일","비빔명란 가라아게동/1","5","명란까지 살살 비벼먹으니까 뚝딱 해치우더라구요! 양은 생각보다 많진 않았어서 잘 드시는 분들은 다른 오더도 추가해서 드시길 바랍니다."
"161","to**님","2020년 11월 11일","대패삼겹덮밥/1","5","맛나게 잘 먹었습니다~"
"162","cs**님","2020년 11월 11일","로스트 치킨과 매콤한 크림리조또/1,어향가지 덮밥/1","3","사진을 안찍었지만 이런 배달 처음 받아보내요..어향가지볶음밥을 어떻게 가져오셨길래 음식 담은 종이팩이 아래에 기름이 흥건하다 못해 기름이 떨어지네요..좀 실망스럽습니다."
"163","wa**님","2020년 11월 11일","궁중식 순살찜닭/1","5","맛있게 먹었어요....."
"164","fp**님","2020년 11월 10일","수원왕갈비 치밥/1","5","치밥 맛있어요 치킨 많이 넣어주셨어요^^"
"165","jo**님","2020년 11월 10일","모둠나물 제육비빔밥/1,어향가지 덮밥/1","5","오늘은 배달기사님이 완전 빨리와주셔서, 따뜻하게 먹을수 있어 더 맛있었어요. 최고로 빨리와주신것 같아요. 배달기사님 어디쯤 오시는지 실시간으로 볼수 있는 서비스도 좋은것 같아요. 할인행사도 쏠쏠하네요. 셰플리~ 좋아요^^"
"166","no**님","2020년 11월 10일","그라나파다노 김치볶음밥/1","5","김볶밥 맛있었습니다."
"167","dl**님","2020년 11월 10일","어향가지 덮밥/1(사이드 선택(계란말이))","5","맛있게 잘 먹었습니다"
"168","wh**님","2020년 11월 10일","수원왕갈비 치밥/1","1","리뷰에 나쁜말은 벌레 나오지않는 이상 안쓰는편인데 심하네요 닭에서 냄새가왜이리납니까? 음식도 하나도 안따뜻하고 다신 안시킬듯합니다"
"169","os**님","2020년 11월 10일","비빔명란 가라아게동/1(사이드 선택(멘보샤))","5","맛있어요!! 배달진짜 빠르고 친절하네용"
"170","lo**님","2020년 11월 10일","어향가지 덮밥/1","5","히양~~~ 짱맛있습니당ㅜㅜㅜ 언제 주문해도 넉넉하고 푸짐하게 보내주시네요 어향가지덮밥도 맛있게 잘먹었어용"
"171","gr**님","2020년 11월 10일","어향가지 덮밥/1(음료 선택(스프라이트),옵션 추가(된장국추가))","5","어향가지~~ 아주 맛있었어요~~ 강추합니다~~"
"172","at**님","2020년 11월 10일","모둠나물 제육비빔밥/3","5","맛있게 먹느라 제육 사진을 못찍었네요. 기존에 먹은 사진입니다."
