"","title","name","point","review"
"25","주디","하나님 도용한 여호와교","8","1930년대 명작 오즈의 마법사의 도로시역으로 전미국인의 국민여동생된 영원한 소녀 이미지의 배우 겸 가수  주디 갈란트의 소녀 시절과 말년이  교차되며 진행된다...소녀 때는 전미의 슈퍼스타였으나 만년은 불행했다는 주리 갈란트의 스탠다드 재즈보컬곡들이 떠오르게하는....관객에게 편안함으로 아첨하지않는 영화다운 영화.주디로 분한 배우의 연기력 인상적이다."
"26","주디","구름","9","오버 더 레인보우 그 자체였던 영화.. 밝은 영화는 아니라서 길을 잘 못 들으면 실망하겠지만 주디 그 자체가 된 르넬 젤위거의 연기는 완벽합니다."
"27","주디","푸른남자","9","오즈의 마법사--도로시,,그귀엽고 발랄했던 모습은 없고늙은 모습의 슬픔 자화상만,ㅠㅠ그래도,,엤날 대스타의 사실적 이야기에 푹 빠졌네여.. 영화 볼만합니다 좋아여~"
"28","주디","SSG","8","전세계의 사랑을 받았지만 그 누구의 사랑도 느끼지못한 가슴아픈 사랑  어른들의 욕심에 발에 채여 굴러다닌 안타까운  아이  ㅡ  가슴아프고 애닯은  어린소녀"
"29","주디","smucker","9","주디 갈란드의 삶이 내 삶의 이야기와 만났다.  By myself !!"
"30","주디","제인","1","이 영화를 과연 주디 갈란드가 좋아할까 주디는 행복한 도로시로 기억되기를 바랄 것이다. 도대체 이 영화를 왜 만들었을까 영화 내내 불편하고 불편했다"
"31","주디","NEKA","10","마지막부분에서 눈물이 왈칵나왔다.주디에게 좋은 부모, 사람, 좋은 인연이 있었다면 그녀는 과거에 얽매이지 않는 건강한 자아로 끝을 보냈을것이다.그 시대의 희생자인것같다. 안타깝고 속상했던 영화. 그녀를 추모합니다."
"32","주디","soul mate","1","감독이 뭘말하고 싶은지 모르겠다 그나마 르네젤위거가 주인공이라서 여우주연상 받은 작품이라 호기심에 본거지 르네젤위거가 특별히 연기를 잘한건지도 도저히 알수가 없다"
"33","주디","성실","3","전기 다큐멘터리도 아니고 보는 내내 관객이 불편하게 만든 이유를 모르겠다 추억 속에 도로시는 꺼내지 않는 게 좋았다 ㅡㅡㅋ"
"34","주디","KnK","8","틀 안에서 틀을 벗어난 이의 고단함사랑스런 주디는 혼자가 아니야"
"35","주디","전영현","1","농담아니고 졸았다.취향 컨디션 모든걸 고려하더라도 4점이상은 줄 수 없다 평점조절을 위해 1점줌."
"36","주디","산들바람","9","금년들어 가장 재미있게~가슴 짠 하게 본 영화입니다원래 영화관 불 꺼지면~조금만 지루하거나  재미없으면 숙면을 취하다 나오는 스타일인데~~시간 가는줄 모르고 봤습니다어떤영화볼까 고민한다면 강추입니다"
"37","주디","운치","8","오랜만에 영화다운 영화를 본다.살아가는 모든이에게 생각을 그리고 슬픔으로 나를 돌아본다."
"38","주디","지수","6","보이지만 만질 수 없는, 걷고 걸어도 닿을 수 없던 안타까운 행복의 빈자리. (르네  젤위거의 모습으로 오래도록 남을 주디 갈란드의 자리)"
"39","주디","따르미","9","몰입하여 보게하고~삶을 돌아보게 하는 영화극도로 통제당했던 배우의 어린시절.나이가 들어서는 생계형 배우...꿈꾸는 삶이었으나, 지극히 다른 현실..우리도 다르지 않아서 너무 슬펐다."
"40","주디","스민95","8","연기자와 연출은 나무랄데가 없지만 스토리자체가 그 시대나 지역을 이해하지 못하는 관객에겐 다소 평이하다."
"41","주디","조이진","10","좋은 영화입니다"
"42","주디","헬레나","9","마지막장면에서저도모르게눈물이왈칵ㅠ노래한곡이모든걸말해주는거같았어요.근데저도모르게왜계속박근혜가생각나는지...말투나행동이박근혜보는듯했어요..ㄷㄷㄷ"
"43","주디","떠나자11","9",""
"44","주디","유정의","10","""누굴 얼마나 사랑하느냐 보다 얼마나 사랑받는지가 더 중요하다.""-'오즈의 마법사'중 '도로시'역 주디 갈랜드"
"45","주디","연꽃사랑","10","르네젤위거의 연기에 감탄했고르네젤위거 연기에 찬사를~~~~*"
"46","주디","그레이스켈리","8","영화에 대한 정보없이  영화를 봤다. 주디역에 르네젤위거 인줄도 모르고 봤던 영화. 오롯이 주디인생을 표현한 르네가 역시 대배우라고 느낌."
"47","주디","vgqry","7",""
"48","주디","사춘기 소년","10","대중적 느낌을 넘어 인생영화를 찍은 듯한 여주인공현실에선 절대 잡히지 않을 꿈속의 무지개 노래마저 다 불러내지 못하는 장면에선 같이 좀 울컥도 했네..."
"49","주디","che","9","코로나덕분에 전세내듣 봤다.르네젤위거의 연기에 감탄했고주디의 일생이 안타깝고 슬펐다.내가 별로 좋아하지않은 지속적인 감정적 긴장감을 좋아하는 사람들이라면 더욱 추천할만한 영화."
"50","주디","wmnoo","8",""
"51","주디","oshige","9","한번 더  봐야지"
"52","주디","Headlong","9","르네젤위거 연기에 찬사를!!!!"
"53","주디","자연미인","1","극장에서 졸다가 결국 중간에 나왔어요 절대 보지 마세요 진짜 보다가 나온영화는 처음입니다 연인들은 좋다고 보겠죠 이영화 보면 헤어집니다"
"54","주디","이연주","10","이 영화는 주디 갈란드에게 헌사하는 세련된 추모 방식이다."
"55","주디","세상은삐까번쩍꺼꾸로돈다네","8","'오버 더 레인보우'가 이렇게 심금을 울리는 노래였나? ㅠ 역시 믿고보는 배우 르네 젤위거..여러 영화제에서 여우주연상 받을 만하다.'브릿짓 존스' 에서 그녀의 엉뚱매력에 빠졌다면 이 영화에선 수줍고 슬픈 눈망울과관객을 사로잡는 노래에 푹~빠지게 된다. 실존 주디보다 더 주디 같은 그녀의멋진 연기와 노래에 박수를~~~"
"56","주디","산수유","9","한 시대를 풍미했던 스타의 무대 뒤의 내면적인 고뇌와 갈등 그리고 쇼 비즈니스 세계에 의해 길들여지는 아린 과정을 있는 그대로 담아내 가슴이 먹먹해지도록 리얼함과 잔잔한 감동이 밀려왔다"
"57","주디","빨강양말소녀","9","처음에는 주디갈란드의 어린시절부터의 활동분량이 많은 줄 알았습니다.아무래도 중간중간 회상장면으로 들어가서 그런지 조금 지루하다는 느낌이 들긴했으나 괜찮았습니다.마지막 오버더레인보우 장면에서는 저도 모르게 눈물이 나더군요.보고난 후에는 한동안 여운이 남는 영화였습니다.왜 르네젤위거가 상을 받았는지 알겠습니다."
"58","주디","홍콩반점","4","이영화 비추다역시나 지루하고 잔잔하고 딱 잠 오는 영화 였다드라마 장르는 뭐랄까 아무래도 남자들이 보기에는 도저히 어쩔 수가 없나 보다하지만 왜 르네 젤위거 배우가 아카데미상을 받았는지 충분히 이해가 동의가 되는 그런 영화였다영국에서는 1960년대 동성애자들을 그무슨 음란죄란 죄명으로 빌미로 삼아서 실형에 처했었나보다암튼 그당시 시대상 잘 표현해주었고 아역배우에 대한 처우 등 특별히 의상과 분장화장 등 좋았다 또한 주디 갈란트 아역배우도 연기도 좋고 했는데 진심 박살나고 폭발하고 그런거 전혀 없이 암튼 너무너무 따분한 영화였다르네 젤위거 연기는 나역시 스칼렛 요한슨 보다도 더 좋았고 왜 플로렌스 퓨가 미드소마에서 열연을 했음에도 후보조차도 못올랐는지 납득이 되었다다만 나이 든 르네 젤위거의 얼굴주름은 뭐랄까 시간이 참 속절없이도 흐르는구나 느끼게 해준다"
"59","주디","Every night i","7","영화자체에 대한  기대  보다는  르네젤위거  팬이라  봄역시   영화는  기대가   없어서  그런지  큰  실망은  없었는데너무  잘 한 분장과도한  연기  때문에르네 젤위거를  느낄수  없었다그냥  르네가  보고 싶었는데"
"60","주디","JAX","10",""
"61","주디","레인포리스트","8","르네 젤위거의 뛰어난 연기가 인상적임.쇼 비즈니스의 추악한 세계에 어린시절을 학대 당하고 약물 남용으로 심신이 망가지고 요절한 주디 갈란드의 비극적 삶을 생생하게 재현해냈음"
"62","주디","지터","6","역시 그녀는 무대 체질이었다"
"63","주디","lemmy","9","주디 갈란드는 안타깝고 르네 젤웨거는 완벽하다"
"64","주디","sssuel","10",""
"65","주디","진짜 나의 삶을  살자","8","르네젤위거  여우주연상  받을만  했다"
"66","주디","로렌티","10","도로시는 예전이나 지금이나 희망을 주네요 오버 더 레인보우 너무 감동이에요 또 보고 싶은 영화입니다"
"67","주디","MK","10","오버 더 레인보우에서 눈물 홍수 터졌다. 부모님 모시고 한 번 더 봐야겠다. N차 추천!"
"68","주디","Bbbirsong","10","화려한 무대에 시선을 빼앗겼다가 엔딩에선 눈물 철철 감동ㅠㅠㅠ 코로나로 힘든 지금, 모두 괜찮아질 거라는 응원을 받은 듯 하네요! 강력추천입니다!"
"69","주디","Mormont","10",""
"70","주디","thj","7","..."
"71","주디","버닝샌더스","0",""
"72","주디","홍련의 비술","10","주디 갈랜드!!! 그녀의 삶을 통해서 인생을 배우는 영화라고 생각합니다!! 꼭 봐야합니다!!"
"73","주디","가을남자","10","명작 오즈의 마법사에서 도로시를 연기한 주디 갈랜드....그 이면엔 슬프고 참혹한 주디 갈랜드 그녀의 삶...천국에선 마음껏 노래부르고 웃으며 지내길...."
"74","주디","서디귿","6","찬란해보여도 암울했던 현실."
"75","주디","hailey","10","주디 드디어 개봉 ㅠㅠ"
"76","주디","gh","10","넘 기다렸어요 주디 ㅠ 얼른 보고파"
"77","주디","mdnaa","10","르네 젤위거 죽지 않앗구나..."
"78","주디","러블리송","10","르네 젤위거 갓배우의 띵작"
"79","주디","서덕구","10","보고 나서 먹먹 또 보고싶네요"
"80","주디","심심해","10","감동의 도가니! 꼭 보시게들"
"81","주디","anyone","10","폭풍감동"
"82","주디","nzcl83","10","르네 젤위거 연기도 정말 좋구요 보는 내내 그녀에게 따뜻한 위로를 건네는 느낌이라 좋았습니다"
"83","주디","바깥양반","10","르네젤위거 인생 연기!"
"84","주디","달과달이랑","1","역시나 르네젤웨거 오버된 연기 욕심에 주디 갈란드의 멋진 환상을 망쳐놓음.변장인디 분장이라 하지만 너무 늙은 배역에중간부터 지겹기까지하다가끝도 황당함."
"85","주디","김재호","10","재밌게 봤습니다!"
"86","주디","Excuse you","6","화려한 겉모습보다 더욱 공감가는 내면의 고뇌"
"87","주디","백설이","8","주디 갈랜드가 누구인지 몰랐고, 르네 젤위거가 좋아서 본 영화였는데 주디를 추모합니다."
"88","주디","PAR","9","제시 버클리는 르네 젤위거의 노래를 들으면서 무슨 생각을 했을까? 얼마나 그 역, 그 노래들을 탐냈을까?ㅎㅎ 모두모두 잘한 영화!!"
"89","주디","하늬바람","9","르네 젤위거의 연기가 압권이었음. 주디갈란드의 인생을 실제로 보는 듯한 느낌과 마지막 공연의 감동이 가슴에 남아 있다."
"90","주디","박재환","10","연기력 믿고 본다"
"91","주디","눌루랄라","10","르네젤위거의 연기만으로도 극장에서 보아야 하는 이유는 충분!! 거기다 마지막 먹먹한 감동까지 선사해준다"
"92","주디","newlife","7","연기와 노래실력은 엄청난데 많이 지루하고 내러티브가 산만하고 어수룩한 데가 많다. 그래도 르네의 노래 부분들에서는 눈알이 튀어 나온다. 특히 오버더 레인보우 장면에서 당신이 울지 않는다면 당신은 사람이 아니다. ㄷㄷ또 작은 아씨들 처럼 못 하고 과거 현재 오가는 게 잘 연결이 안 된 느낌이다. 핀 위트록의 발견은 큰 수확이었다. 그리고 보지도 않고 평점 매기는 사람들은 뭔가? 난 미국서 봤다."
"93","주디","간바리야","10","오버 더 레인보우!  ㄷㄷㄷ"
"94","주디","즐산","9","오즈의 마법사 '도로시'역 천재 아역스타 주디 갈란드(Judy Garland,1922-1969 향년47세/ 신장151cm) 굴곡진 인생을 조명하고 그녀의 삶을 기린다 .."
"95","주디","bullish","9","르네 젤위거 버젼의 Over the rainbow 너무 좋네요"
"96","주디","GM옴므","10","명곡과 명품배우의 만남... 꼭 보고 싶다"
"97","주디","ependymoma","10",""
"98","주디","짱","10","꼭 보고 싶은영화~~ 르네젤위거!!!!"
"99","주디","음원속으로","10","아카데미 여우주연상인데 영화 개봉은 언제 하는건가요? 다른 노미네이트 영화는 다 봤는데 ""주디""는 못봐서 너무 궁금해요~~"
